Website,has_https,ssl_valid,ssl_expiry_days,ssl_issuer,domain_age_days,whois_info_available,organization_name,url_length,num_dots,num_hyphens,has_ip_in_url,num_special_chars,tld_type,num_iframes,num_forms,num_external_links,has_login_keyword,has_privacy_policy,has_contact_page,num_suspicious_keywords,has_hsts_header,has_x_frame_options,has_csp,has_x_content_type_options,secure_label
https://ucla.edu,1,1,333,Amazon,14787,1,,16,1,0,0,0,edu,1,0,151,0,1,1,0,0,1,0,1,1
https://netangels.ru,1,1,71,Let's Encrypt,7991,1,"LLP ""Internet-Pro""",20,1,0,0,0,ru,0,1,45,0,0,1,0,0,0,0,0,1
https://sharepoint.com,1,1,224,Microsoft Corporation,9931,1,Microsoft Corporation,22,1,0,0,0,com,0,0,1,0,0,0,0,1,0,0,0,1
https://ptt.cc,0,0,0,,8674,1,,14,1,0,0,0,cc,0,0,0,0,0,0,0,0,0,0,0,1
https://newsweek.com,1,1,289,Amazon,11477,1,Newsweek Magazine LLC,20,1,0,0,0,com,0,1,281,1,1,1,0,1,1,0,1,1
https://name-services.com,0,0,0,,8894,1,REDACTED FOR PRIVACY,25,1,1,0,0,com,0,0,0,0,0,0,0,0,0,0,0,1
https://wbx2.com,0,0,0,,4582,1,Cisco Technology Inc.,16,1,0,0,0,com,0,0,0,0,0,0,0,0,0,0,0,1
https://samsungqbe.com,0,0,0,,4119,1,,22,1,0,0,0,com,0,0,0,0,0,0,0,0,0,0,0,1
https://doubtnut.com,0,0,0,,3965,1,"Domains By Proxy, LLC",20,1,0,0,0,com,0,0,0,0,0,0,0,0,0,0,0,1
https://bbc.com,1,1,282,GlobalSign nv-sa,13244,1,REDACTED FOR PRIVACY,15,1,0,0,0,com,0,0,46,1,1,1,2,1,1,0,1,1
https://justdial.com,1,1,178,DigiCert Inc,10200,1,"Domains By Proxy, LLC",20,1,0,0,0,com,1,0,96,1,0,1,0,1,1,1,0,1
https://wnacg.com,1,1,53,Let's Encrypt,5005,1,See PrivacyGuardian.org,17,1,0,0,0,com,0,0,2,1,0,0,0,0,0,0,0,1
https://videq.one,0,0,0,,66,1,Privacy service provided by Withheld for Privacy ehf,17,1,0,0,0,one,0,0,0,0,0,0,0,0,0,0,0,1
https://premierleague.com,1,1,337,Amazon,10321,1,,25,1,0,0,0,com,0,0,113,1,1,1,0,1,0,0,0,1
https://cnn.com,1,1,259,GlobalSign nv-sa,11714,1,"Turner Broadcasting System, Inc.",15,1,0,0,0,com,0,3,310,1,1,1,6,0,0,1,1,1
https://cnnbrasil.com.br,1,1,66,Let's Encrypt,8429,1,,24,2,0,0,0,br,0,2,465,1,0,0,0,0,0,0,1,1
https://readthedocs.io,1,1,77,Google Trust Services,4143,1,,22,1,0,0,0,io,0,0,42,1,1,0,0,0,0,0,1,1
